"BehaviorSpace results (NetLogo 6.0)"
"Fire.nlogo"
"experiment"
"12/13/2017 15:20:10:222 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-125","125","-125","125"
"[run number]","1","1","1","2","2","2","3","3","3","4","4","4","5","5","5","6","6","6","7","7","7","8","8","8","9","9","9"
"density","10",,,"20",,,"30",,,"40",,,"50",,,"60",,,"70",,,"80",,,"90",,
"[reporter]","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100","burned-trees","initial-trees","(burned-trees / initial-trees) * 100"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2104","37688","5.582678836765019","4213","43874","9.602498062633906","5551","50229","11.051384658265146","6873","56347","12.197632527020073"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2149","37688","5.702080237741456","4353","43874","9.92159365455623","5733","50229","11.413725138864002","7088","56347","12.579196762915506"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2201","37688","5.8400551899808955","4504","43874","10.265761042986735","5902","50229","11.750184156562941","7299","56347","12.953662129305906"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2246","37688","5.959456590957334","4659","43874","10.619045448329306","6069","50229","12.082661410738817","7503","56347","13.315704474062507"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2287","37688","6.0682445340691995","4816","43874","10.976888362127912","6239","50229","12.421111310199286","7713","56347","13.68839512307665"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2320","37688","6.155805561451921","4962","43874","11.309659479418334","6398","50229","12.737661510282905","7920","56347","14.05576161996202"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2345","37688","6.222139673105498","5111","43874","11.649268359392808","6562","50229","13.064166119174182","8127","56347","14.423128116847392"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2378","37688","6.309700700488219","5237","43874","11.936454392122897","6733","50229","13.404606900396185","8336","56347","14.794044048485278"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2414","37688","6.405221821269369","5370","43874","12.239595204449104","6896","50229","13.729120627525932","8550","56347","15.173833567004454"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2456","37688","6.516663128847379","5518","43874","12.57692483019556","7051","50229","14.03770730056342","8762","56347","15.550073650771115"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2493","37688","6.6148376140946725","5669","43874","12.921092218626065","7196","50229","14.326385155985585","8966","56347","15.912115995527712"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2534","37688","6.723625557206538","5809","43874","13.240187810548388","7359","50229","14.650898883115332","9174","56347","16.28125720978934"
,,,,,,,,,,,,,"706","31301","2.2555189930034185","2577","37688","6.8377202292506905","5962","43874","13.588913707434926","7523","50229","14.97740349200661","9393","56347","16.669920315189806"
,,,,,,,,,,,,,,,,"2628","37688","6.9730418170239865","6104","43874","13.912567807813284","7695","50229","15.319835154990145","9608","56347","17.051484551085238"
,,,,,,,,,,,,,,,,"2678","37688","7.1057100403311395","6241","43874","14.224825637051557","7869","50229","15.666248581496745","9823","56347","17.433048786980674"
,,,,,,,,,,,,,,,,"2730","37688","7.24368499257058","6364","43874","14.505173907097598","8065","50229","16.05646140675705","10023","56347","17.787992262232237"
,,,,,,,,,,,,,,,,"2779","37688","7.37369985141159","6478","43874","14.765008889091488","8257","50229","16.438710704971232","10227","56347","18.15003460698884"
,,,,,,,,,,,,,,,,"2828","37688","7.5037147102526","6613","43874","15.072708209873728","8432","50229","16.787115013239365","10428","56347","18.50675279961666"
,,,,,,,,,,,,,,,,"2884","37688","7.6523031203566125","6755","43874","15.396362310252085","8608","50229","17.137510203269027","10639","56347","18.881218166007063"
,,,,,,,,,,,,,,,,"2929","37688","7.77170452133305","6898","43874","15.722295664858457","8781","50229","17.481932748014096","10849","56347","19.25390881502121"
